Variable Name,Multiplier,Equation for Multiplier,Updated Multiplier,Factory Set Constant,Customer Dependant Variable,Customer Variable,COST/RATE (£),TOTAL (£),Equation for TOTAL (£)
Area of Dutch Grey Board (m^2),1.0,"df.loc[""Area of Dutch Grey Board (m^2)"", ""Multiplier""]",0.0,0.0,0.0,1.0,0.0,0.0,"df.loc[""Area of Dutch Grey Board (m^2)"", ""TOTAL (£)""]"
YIELD PER SHEET OF DUTCH GREY BOARD (number),6.0,"(df.loc[""Multiplier"").floor( ""Area of Dutch Grey Board (m^2)""]/df.loc[""Multiplier"", ""FLAT SIZE Area (m^2)""],0)",0,0,1,0,0.0,0.0,"df.loc[""YIELD PER SHEET OF DUTCH GREY BOARD (number)"", ""TOTAL (£)""]"
DRILL MAX THICKNESS (mm),10.0,"df.loc[""DRILL MAX THICKNESS (mm)"", ""Multiplier""]",0.0,1.0,0.0,0.0,0.0,0.0,"df.loc[""DRILL MAX THICKNESS (mm)"", ""TOTAL (£)""]"
DRILL UP AND DOWN CYCLES PER HOUR (number),180.0,"df.loc[""DRILL UP AND DOWN CYCLES PER HOUR (number)"", ""Multiplier""]",0.0,1.0,0.0,0.0,0.0,0.0,"df.loc[""DRILL UP AND DOWN CYCLES PER HOUR (number)"", ""TOTAL (£)""]"
DRILL UP AND DOWN TOTOAL CYCLES (number),2960.0,"df.loc[""Multiplier"", ""TOTAL DRILLING THICKNESS (mm)""]/df.loc[""Multiplier"", ""DRILL MAX THICKNESS (mm)""]",0,0,1,0,0.0,0.0,"df.loc[""DRILL UP AND DOWN TOTOAL CYCLES (number)"", ""TOTAL (£)""]"
DRILL BOARD (number),2.0,"df.loc[""DRILL BOARD (number)"", ""Multiplier""]",0.0,1.0,0.0,0.0,0.0,0.0,"df.loc[""DRILL BOARD (number)"", ""TOTAL (£)""]"
TOTAL DRILLING THICKNESS (mm),29600.0,"df.loc[""Multiplier"", ""QUANTITY INCLUDING OVERS (number)""]*df.loc[""Multiplier"", ""THICKNESS OF DUTCH GREY BOARD (mm)""]*df.loc[""Multiplier"", ""DRILL BOARD (number)""]",0,0,1,0,0.0,0.0,"df.loc[""TOTAL DRILLING THICKNESS (mm)"", ""TOTAL (£)""]"
GREY BOARD SHEETS (number),1234.0,"(df.loc[""Multiplier"").ceil( ""QUANTITY INCLUDING OVERS (number)""]/df.loc[""Multiplier"", ""YIELD PER SHEET OF DUTCH GREY BOARD (number)""], 0)",0,0,1,0,1.3,0.0,"df.loc[""GREY BOARD SHEETS (number)"", ""TOTAL (£)""]"
THICKNESS OF LINER PAPER (mm),0.15,"df.loc[""THICKNESS OF LINER PAPER (mm)"", ""Multiplier""]",0.0,1.0,0.0,0.0,0.0,0.0,"df.loc[""THICKNESS OF LINER PAPER (mm)"", ""TOTAL (£)""]"
Liner Total Pile depth (mm),1110.0,"df.loc[""Multiplier"", ""QUANTITY INCLUDING OVERS (number)""]*df.loc[""Multiplier"", ""THICKNESS OF LINER PAPER (mm)""]",0,0,1,0,0.0,0.0,"df.loc[""Liner Total Pile depth (mm)"", ""TOTAL (£)""]"
Dutch Grey Total Pile depth (mm),2466.6666666666665,"df.loc[""Multiplier"", ""QUANTITY INCLUDING OVERS (number)""]/df.loc[""Multiplier"", ""YIELD PER SHEET OF DUTCH GREY BOARD (number)""]*df.loc[""Multiplier"", ""THICKNESS OF DUTCH GREY BOARD (mm)""]",0,0,1,0,0.0,0.0,"df.loc[""Dutch Grey Total Pile depth (mm)"", ""TOTAL (£)""]"
YIELD PER SHEET FROM LINER PAPER (number),1.0,"df.loc[""YIELD PER SHEET FROM LINER PAPER (number)"", ""Multiplier""]",0.0,0.0,1.0,0.0,0.0,0.0,"df.loc[""YIELD PER SHEET FROM LINER PAPER (number)"", ""TOTAL (£)""]"
GUILLOTINE PILE DEPTH GREY BOARD (mm),40.0,"df.loc[""GUILLOTINE PILE DEPTH GREY BOARD (mm)"", ""Multiplier""]",0.0,1.0,0.0,0.0,0.0,0.0,"df.loc[""GUILLOTINE PILE DEPTH GREY BOARD (mm)"", ""TOTAL (£)""]"
GUILLOTINE PILE DEPTH INNER LINER & OUTER SUPPLIED SHEETS (mm),40.0,"df.loc[""GUILLOTINE PILE DEPTH INNER LINER & OUTER SUPPLIED SHEETS (mm)"", ""Multiplier""]",0.0,1.0,0.0,0.0,0.0,0.0,"df.loc[""GUILLOTINE PILE DEPTH INNER LINER & OUTER SUPPLIED SHEETS (mm)"", ""TOTAL (£)""]"
Pallet Length (mm),1000.0,"df.loc[""Pallet Length (mm)"", ""Multiplier""]",0.0,1.0,0.0,0.0,0.0,0.0,"df.loc[""Pallet Length (mm)"", ""TOTAL (£)""]"
Pallet Width (mm),1200.0,"df.loc[""Pallet Width (mm)"", ""Multiplier""]",0.0,1.0,0.0,0.0,0.0,0.0,"df.loc[""Pallet Width (mm)"", ""TOTAL (£)""]"
Pallet Area (m^2),1.2,"df.loc[""Multiplier"", ""Pallet Length (mm)""]*df.loc[""Multiplier"", ""Pallet Width (mm)""]/1000000",0,1,0,0,0.0,0.0,"df.loc[""Pallet Area (m^2)"", ""TOTAL (£)""]"
FOLDERS PER PALLET AREA (number),6.0,"df.loc[""Multiplier"", ""YIELD PER SHEET OF DUTCH GREY BOARD (number)""]",0,0,1,0,0.0,0.0,"df.loc[""FOLDERS PER PALLET AREA (number)"", ""TOTAL (£)""]"
FOLDERS PER PALLET HEIGHT (number),500.0,"df.loc[""FOLDERS PER PALLET HEIGHT (number)"", ""Multiplier""]",0.0,0.0,1.0,0.0,0.0,0.0,"df.loc[""FOLDERS PER PALLET HEIGHT (number)"", ""TOTAL (£)""]"
FOLDERS PER PALLET VOLUME (number),3000.0,"df.loc[""Multiplier"", ""FOLDERS PER PALLET AREA (number)""]*df.loc[""Multiplier"", ""FOLDERS PER PALLET HEIGHT (number)""]",0,0,1,0,0.0,0.0,"df.loc[""FOLDERS PER PALLET VOLUME (number)"", ""TOTAL (£)""]"
NUMBER OF PALLETS (number),2.0,"round(df.loc[""Multiplier"", ""QUANTITY REQUIRED BY CUSTOMER (number)""]/df.loc[""Multiplier"", ""FOLDERS PER PALLET VOLUME (number)""], 0)",0,0,1,0,80.0,160.0,"df.loc[""Multiplier"", ""NUMBER OF PALLETS (number)""]*df.loc[""COST/RATE (£)"", ""NUMBER OF PALLETS (number)""]"
GUILLOTINE CUT TIME DUTCH BOARD (hours),0.05,1/60*3,0,1,0,0,0.0,0.0,"df.loc[""GUILLOTINE CUT TIME DUTCH BOARD (hours)"", ""TOTAL (£)""]"
GUILLOTINE CUT TIME LINER (hours),0.05,1/60*3,0,1,0,0,0.0,0.0,"df.loc[""GUILLOTINE CUT TIME LINER (hours)"", ""TOTAL (£)""]"
CREASING SPEED 4 PAGE (per hour),400.0,"df.loc[""CREASING SPEED 4 PAGE (per hour)"", ""Multiplier""]",0.0,1.0,0.0,0.0,0.0,0.0,"df.loc[""CREASING SPEED 4 PAGE (per hour)"", ""TOTAL (£)""]"
CREASING SPEED 6 PAGE (per hour),300.0,"df.loc[""CREASING SPEED 6 PAGE (per hour)"", ""Multiplier""]",0.0,1.0,0.0,0.0,0.0,0.0,"df.loc[""CREASING SPEED 6 PAGE (per hour)"", ""TOTAL (£)""]"
CREASING SPEED 8 PAGE (number per hours),240.0,"df.loc[""CREASING SPEED 8 PAGE (number per hours)"", ""Multiplier""]",0.0,1.0,0.0,0.0,0.0,0.0,"df.loc[""CREASING SPEED 8 PAGE (number per hours)"", ""TOTAL (£)""]"
ADMIN (number),1.0,"df.loc[""ADMIN (number)"", ""Multiplier""]",0,1,0,0,5.0,5.0,"df.loc[""Multiplier"", ""ADMIN (number)""]*df.loc[""COST/RATE (£)"", ""ADMIN (number)""]"
MAC TIME (hours),0.0,"df.loc[""MAC TIME (hours)"", ""Multiplier""]",0,1,0,0,40.0,0.0,"df.loc[""COST/RATE (£)"", ""MAC TIME (hours)""]/60*df.loc[""Multiplier"", ""MAC TIME (hours)""]"
PROGRAMME GUILLOTINE (job),1.0,"df.loc[""PROGRAMME GUILLOTINE (job)"", ""Multiplier""]",0,1,0,0,4.0,4.0,"df.loc[""Multiplier"", ""PROGRAMME GUILLOTINE (job)""]*df.loc[""COST/RATE (£)"", ""PROGRAMME GUILLOTINE (job)""]"
GUILLOTINE DUTCH GREY BOARD 40mm (hours),0.08333333333333333,1/60*5,0,1,0,0,50.0,2.5694444444444446,"df.loc[""Multiplier"", ""QUANTITY INCLUDING OVERS (number)""]/df.loc[""Multiplier"", ""YIELD PER SHEET OF DUTCH GREY BOARD (number)""]*df.loc[""Multiplier"", ""THICKNESS OF DUTCH GREY BOARD (mm)""]/df.loc[""Multiplier"", ""GUILLOTINE PILE DEPTH GREY BOARD (mm)""]*df.loc[""Multiplier"", ""GUILLOTINE CUT TIME DUTCH BOARD (hours)""]/60*df.loc[""COST/RATE (£)"", ""GUILLOTINE DUTCH GREY BOARD 40mm (hours)""]"
TRIM 4 EDGES OF OUTER SHEET 40mm (hours),0.03333333333333333,1/60*2,0,1,0,0,50.0,46.25,"df.loc[""Multiplier"", ""Liner Total Pile depth (mm)""]/df.loc[""Multiplier"", ""GUILLOTINE PILE DEPTH INNER LINER & OUTER SUPPLIED SHEETS (mm)""]*2/60*df.loc[""COST/RATE (£)"", ""TRIM 4 EDGES OF OUTER SHEET 40mm (hours)""]"
MITRE CORNERS OF OUTER SHEET 40mm (hours),0.03,"df.loc[""MITRE CORNERS OF OUTER SHEET 40mm (hours)"", ""Multiplier""]",0,1,0,0,50.0,46.25,"df.loc[""Multiplier"", ""Liner Total Pile depth (mm)""]/df.loc[""Multiplier"", ""GUILLOTINE PILE DEPTH INNER LINER & OUTER SUPPLIED SHEETS (mm)""]*2/60*df.loc[""COST/RATE (£)"", ""MITRE CORNERS OF OUTER SHEET 40mm (hours)""]"
GUILLOTINE LINER PAPER 40mm (hours),0.03333333333333333,1/60*2,0,1,0,0,50.0,46.25,"df.loc[""Multiplier"", ""Liner Total Pile depth (mm)""]/df.loc[""Multiplier"", ""GUILLOTINE PILE DEPTH INNER LINER & OUTER SUPPLIED SHEETS (mm)""]*2/60*df.loc[""COST/RATE (£)"", ""GUILLOTINE LINER PAPER 40mm (hours)""]"
SET UP DRILLING MACHINE TO DRILL BOARD FOR MAGNETS (hours),1.0,"df.loc[""SET UP DRILLING MACHINE TO DRILL BOARD FOR MAGNETS (hours)"", ""Multiplier""]",0,1,0,0,40.0,0.6666666666666666,"df.loc[""COST/RATE (£)"", ""SET UP DRILLING MACHINE TO DRILL BOARD FOR MAGNETS (hours)""]/60*df.loc[""Multiplier"", ""SET UP DRILLING MACHINE TO DRILL BOARD FOR MAGNETS (hours)""]"
SHEET STOCK FROM ROLL (hours),0.0,"df.loc[""SHEET STOCK FROM ROLL (hours)"", ""Multiplier""]",0,1,0,0,40.0,0.0,"df.loc[""COST/RATE (£)"", ""SHEET STOCK FROM ROLL (hours)""]/60*df.loc[""Multiplier"", ""SHEET STOCK FROM ROLL (hours)""]"
PRECISION TRIM PANELS FROM ROLL (hours),0.0,"df.loc[""PRECISION TRIM PANELS FROM ROLL (hours)"", ""Multiplier""]",0,1,0,0,40.0,0.0,"df.loc[""COST/RATE (£)"", ""PRECISION TRIM PANELS FROM ROLL (hours)""]/60*df.loc[""Multiplier"", ""PRECISION TRIM PANELS FROM ROLL (hours)""]"
SET UP POB MACHINE (hours),3.0,"df.loc[""SET UP POB MACHINE (hours)"", ""Multiplier""]",0,1,0,0,40.0,120.0,"df.loc[""COST/RATE (£)"", ""SET UP POB MACHINE (hours)""]*df.loc[""Multiplier"", ""SET UP POB MACHINE (hours)""]"
WRAP OUTER SHEETS TO GREY BOARD (per hour),1000.0,"df.loc[""WRAP OUTER SHEETS TO GREY BOARD (per hour)"", ""Multiplier""]",0,1,0,0,100.0,740.0,"df.loc[""Multiplier"", ""QUANTITY INCLUDING OVERS (number)""]/df.loc[""Multiplier"", ""WRAP OUTER SHEETS TO GREY BOARD (per hour)""]*df.loc[""COST/RATE (£)"", ""WRAP OUTER SHEETS TO GREY BOARD (per hour)""]"
CLEAN UP POB MACHINE (hours),0.5,"df.loc[""CLEAN UP POB MACHINE (hours)"", ""Multiplier""]",0,1,0,0,40.0,0.0,"MBC8*df.loc[""Multiplier"", ""CLEAN UP POB MACHINE (hours)""]"
SET UP POB MACHINE (hours).1,3.0,"df.loc[""SET UP POB MACHINE (hours).1"", ""Multiplier""]",0,1,0,0,40.0,120.0,"df.loc[""COST/RATE (£)"", ""SET UP POB MACHINE (hours).1""]*df.loc[""Multiplier"", ""SET UP POB MACHINE (hours).1""]"
GLUE LINER PAPERS (per hour),1000.0,"df.loc[""GLUE LINER PAPERS (per hour)"", ""Multiplier""]",0,1,0,0,100.0,740.0,"df.loc[""Multiplier"", ""QUANTITY INCLUDING OVERS (number)""]/df.loc[""Multiplier"", ""GLUE LINER PAPERS (per hour)""]*df.loc[""COST/RATE (£)"", ""GLUE LINER PAPERS (per hour)""]"
CLEAN UP PAPER OVER BOARD MACHINE (hours),0.5,"df.loc[""CLEAN UP PAPER OVER BOARD MACHINE (hours)"", ""Multiplier""]",0,1,0,0,40.0,20.0,"df.loc[""COST/RATE (£)"", ""CLEAN UP PAPER OVER BOARD MACHINE (hours)""]*df.loc[""Multiplier"", ""CLEAN UP PAPER OVER BOARD MACHINE (hours)""]"
SET UP CREASER (hours),0.5,"df.loc[""SET UP CREASER (hours)"", ""Multiplier""]",0,1,0,0,35.0,0.2916666666666667,"df.loc[""COST/RATE (£)"", ""SET UP CREASER (hours)""]/60*df.loc[""Multiplier"", ""SET UP CREASER (hours)""]"
CREASE (per hour),240.0,"df.loc[""Multiplier"", ""CREASING SPEED 8 PAGE (number per hours)""]",0,1,0,0,70.0,2158.333333333333,"df.loc[""Multiplier"", ""QUANTITY INCLUDING OVERS (number)""]/df.loc[""Multiplier"", ""CREASE (per hour)""]*df.loc[""COST/RATE (£)"", ""CREASE (per hour)""]"
MAKE READY PLATTEN (hours),0.0,"df.loc[""MAKE READY PLATTEN (hours)"", ""Multiplier""]",0,1,0,0,40.0,0.0,"df.loc[""COST/RATE (£)"", ""MAKE READY PLATTEN (hours)""]/60*df.loc[""Multiplier"", ""MAKE READY PLATTEN (hours)""]"
PLATTEN SPEED IN (per hour),360.0,"df.loc[""PLATTEN SPEED IN (per hour)"", ""Multiplier""]",0,1,0,0,0.0,0.0,"df.loc[""Multiplier"", ""QUANTITY INCLUDING OVERS (number)""]/df.loc[""Multiplier"", ""PLATTEN SPEED IN (per hour)""]*df.loc[""COST/RATE (£)"", ""PLATTEN SPEED IN (per hour)""]"
SET RIVETING MACHINE (hours),0.0,"df.loc[""SET RIVETING MACHINE (hours)"", ""Multiplier""]",0,1,0,0,30.0,0.0,"df.loc[""COST/RATE (£)"", ""SET RIVETING MACHINE (hours)""]/60*df.loc[""Multiplier"", ""SET RIVETING MACHINE (hours)""]"
FIT 2 X CORNERS (hours),2.0,"df.loc[""FIT 2 X CORNERS (hours)"", ""Multiplier""]",0,1,0,0,0.0,0.0,"df.loc[""Multiplier"", ""QUANTITY REQUIRED BY CUSTOMER (number)""]/df.loc[""Multiplier"", ""FIT 2 X CORNERS (hours)""]*df.loc[""COST/RATE (£)"", ""FIT 2 X CORNERS (hours)""]"
STACK - WRAP - STRAP PER PALLET (hours),2.33331,"df.loc[""Multiplier"", ""QUANTITY REQUIRED BY CUSTOMER (number)""]/1000*0.33333",0,1,0,0,35.0,81.66585,"df.loc[""COST/RATE (£)"", ""STACK - WRAP - STRAP PER PALLET (hours)""]*df.loc[""Multiplier"", ""STACK - WRAP - STRAP PER PALLET (hours)""]"
COST PER SHEET OF DUTCH GREY BOARD (number),1.0,"df.loc[""COST PER SHEET OF DUTCH GREY BOARD (number)"", ""Multiplier""]",0,1,0,0,1.3,1233.3333333333333,"df.loc[""Multiplier"", ""QUANTITY INCLUDING OVERS (number)""]/df.loc[""Multiplier"", ""YIELD PER SHEET OF DUTCH GREY BOARD (number)""]*df.loc[""Multiplier"", ""COST PER SHEET OF DUTCH GREY BOARD (number)""]"
COST PER SHEET OF LINER PAPER (number),1.0,"df.loc[""COST PER SHEET OF LINER PAPER (number)"", ""Multiplier""]",0,1,0,0,0.18,7400.0,"df.loc[""Multiplier"", ""QUANTITY INCLUDING OVERS (number)""]/df.loc[""Multiplier"", ""YIELD PER SHEET FROM LINER PAPER (number)""]*df.loc[""Multiplier"", ""COST PER SHEET OF LINER PAPER (number)""]"
PRINTED AND LAMINATED OUTER SHEETS (number),0.0,"df.loc[""PRINTED AND LAMINATED OUTER SHEETS (number)"", ""Multiplier""]",0,1,0,0,0.0,0.0,"df.loc[""Multiplier"", ""PRINTED AND LAMINATED OUTER SHEETS (number)""]*df.loc[""COST/RATE (£)"", ""PRINTED AND LAMINATED OUTER SHEETS (number)""]"
PRINTED AND LAMINATED INNER SHEETS (number),0.0,"df.loc[""PRINTED AND LAMINATED INNER SHEETS (number)"", ""Multiplier""]",0,1,0,0,0.0,0.0,"df.loc[""Multiplier"", ""PRINTED AND LAMINATED INNER SHEETS (number)""]*df.loc[""Multiplier"", ""QUANTITY INCLUDING OVERS (number)""]"
MECHANISM (number).1,0.0,"df.loc[""MECHANISM (number).1"", ""Multiplier""]",0,1,0,0,0.0,0.0,"df.loc[""Multiplier"", ""MECHANISM (number).1""]*df.loc[""Multiplier"", ""QUANTITY REQUIRED BY CUSTOMER (number)""]"
POCKETS (number),0.0,"df.loc[""POCKETS (number)"", ""Multiplier""]",0,1,0,0,0.0,0.0,"df.loc[""Multiplier"", ""QUANTITY INCLUDING OVERS (number)""]*df.loc[""Multiplier"", ""POCKETS (number)""]"
DIGITAL/FOIL/SCREENPRINTING (number),0.0,"df.loc[""DIGITAL/FOIL/SCREENPRINTING (number)"", ""Multiplier""]",0,1,0,0,0.0,0.0,"df.loc[""Multiplier"", ""DIGITAL/FOIL/SCREENPRINTING (number)""]*df.loc[""COST/RATE (£)"", ""DIGITAL/FOIL/SCREENPRINTING (number)""]"
ANY BREAKAGE CHARGES (number),0.0,"df.loc[""ANY BREAKAGE CHARGES (number)"", ""Multiplier""]",0,1,0,0,0.0,0.0,"df.loc[""Multiplier"", ""ANY BREAKAGE CHARGES (number)""]*df.loc[""COST/RATE (£)"", ""ANY BREAKAGE CHARGES (number)""]"
MINIMUM ORDER / CARRIAGE CHARGES (number),0.0,"df.loc[""MINIMUM ORDER / CARRIAGE CHARGES (number)"", ""Multiplier""]",0,1,0,0,0.0,0.0,"df.loc[""Multiplier"", ""MINIMUM ORDER / CARRIAGE CHARGES (number)""]*df.loc[""COST/RATE (£)"", ""MINIMUM ORDER / CARRIAGE CHARGES (number)""]"
GLUE COST PER BINDER (number),1.0,"df.loc[""GLUE COST PER BINDER (number)"", ""Multiplier""]",0,0,1,0,0.1,2587.225,"df.loc[""Multiplier"", ""QUANTITY INCLUDING OVERS (number)""]*df.loc[""Multiplier"", ""TOTAL AREA FOR GLUE (m^2)""]*df.loc[""Multiplier"", ""GLUE COST PER BINDER (number)""]"
SINGLE MAGNET COST £0.10 PENCE EACH (number),1.0,"df.loc[""SINGLE MAGNET COST £0.10 PENCE EACH (number)"", ""Multiplier""]",0,1,0,0,0.1,740.0,"df.loc[""Multiplier"", ""QUANTITY INCLUDING OVERS (number)""]*df.loc[""Multiplier"", ""SINGLE MAGNET COST £0.10 PENCE EACH (number)""]*df.loc[""COST/RATE (£)"", ""SINGLE MAGNET COST £0.10 PENCE EACH (number)""]"
NUMBER OF RIVETS PER BINDER (number),0.0,"df.loc[""NUMBER OF RIVETS PER BINDER (number)"", ""Multiplier""]",0,0,1,0,0.0,0.0,"df.loc[""Multiplier"", ""QUANTITY INCLUDING OVERS (number)""]*df.loc[""COST/RATE (£)"", ""NUMBER OF RIVETS PER BINDER (number)""]*df.loc[""Multiplier"", ""NUMBER OF RIVETS PER BINDER (number)""]"
CUTTING FORME COST IF REQUIRED (number),0.0,"df.loc[""CUTTING FORME COST IF REQUIRED (number)"", ""Multiplier""]",0,1,0,0,0.0,0.0,"df.loc[""Multiplier"", ""CUTTING FORME COST IF REQUIRED (number)""]*df.loc[""COST/RATE (£)"", ""CUTTING FORME COST IF REQUIRED (number)""]"
PACKING MATERIALS PER PALLETE (number),4.0,"df.loc[""PACKING MATERIALS PER PALLETE (number)"", ""Multiplier""]",0,1,0,0,20.0,80.0,"df.loc[""Multiplier"", ""PACKING MATERIALS PER PALLETE (number)""]*df.loc[""COST/RATE (£)"", ""PACKING MATERIALS PER PALLETE (number)""]"
